# report	pdf	html	format	date — written by generate-pdf.mjs, do not edit
004	output/cv-harrison-pizzi-lululemon-2026-07-23.pdf	output/cv-harrison-pizzi-lululemon.html	letter	2026-07-23
005	output/cv-harrison-pizzi-nms-labs-2026-07-28.pdf	output/cv-harrison-pizzi-nms-labs.html	letter	2026-07-28
009	output/cv-harrison-pizzi-coreweave-2026-09-05.pdf	output/cv-harrison-pizzi-coreweave.html	letter	2026-09-05
013	output/013-gitlab-manager-procurement/cv/tailored/v001/cv.pdf	output/013-gitlab-manager-procurement/cv/tailored/v001/cv.html	letter	2026-09-05
